latitude,longitude,restaurant count,num stalls
45.617499783128075,-73.60601127147675,6,11
45.516926210319546,-73.56425732374191,50,14
45.54154850456526,-73.56501236557959,41,11
45.506175841460966,-73.71118605136871,9,19
45.5129938566323,-73.68249848484993,41,19
45.51473429416659,-73.69144901633263,42,15
45.52234149817879,-73.72167885303497,20,15
45.566869345371856,-73.64101678133011,10,15
45.54813638885782,-73.62434014678001,50,13
45.44791581215845,-73.58381867408752,6,19
45.51293324107222,-73.63389015197754,15,23
45.42947143740888,-73.59309915918857,4,23
45.52331869398737,-73.52012693881989,23,29
45.53368199320325,-73.51526074111462,34,15
45.53722603812578,-73.49506705999374,15,18
45.52841043752244,-73.51716578006744,27,10
45.46714,-73.54259,11,29
45.55321884238814,-73.53978216648102,48,22
45.56493679334249,-73.5555911064148,7,23
45.5057209331225,-73.62945914268494,49,27
45.51016276368593,-73.55663707494385,50,32
45.52689,-73.57264,50,29
45.65140583915357,-73.50041270256041,16,15
45.6062348,-73.6287838,13,18
45.50714391928411,-73.55511903762817,50,15
45.5063732,-73.52457672,6,19
45.52156536710626,-73.53533238172531,3,21
45.45750908083069,-73.6394852399826,19,24
45.47256100297732,-73.56998920440674,50,17
45.605901731906485,-73.53436946868896,13,13
45.43914465255811,-73.59173655509949,0,15
45.471881993586074,-73.64002168178558,28,22
45.5534000891078,-73.66225451231003,35,13
45.57414703721992,-73.57462137937546,30,21
45.59722114932571,-73.56279015541077,48,19
45.55984236120471,-73.61544728279114,21,33
45.554946972033726,-73.55529472231865,10,21
45.56833021674857,-73.56666326522826,4,22
45.43656827071224,-73.70836973190308,0,19
45.43805550384184,-73.67273926734924,19,19
45.45682318753668,-73.546804189682,2,14
45.489185716082275,-73.57190027832984,50,20
45.52252484113786,-73.69143962860107,18,22
45.50897852206792,-73.69856357574463,13,25
45.50403766981151,-73.70444297790526,13,23
45.490494421832885,-73.63852232694626,43,15
45.531943590076395,-73.71360540390015,18,12
45.48049514330605,-73.57782661914825,50,24
45.4912258547597,-73.58763009309769,50,22
45.59398503487043,-73.63767206668854,13,21
